Individual	Parent1	Parent2	Pedigree
F70-3374	F63-3999	Hutton	( F70-3374 ( F63-3999 , Hutton ) )
F70-3380	F63-3999	Hutton	( F70-3380 ( F63-3999 , Hutton ) )
F70-3390	F63-3999	Hutton	( F70-3390 ( F63-3999 , Hutton ) )
F79-6429	Davis	Cobb	( F79-6429 ( Davis , Cobb ) )
F8-291	Mandarin	Manitoba_Brown	( F8-291 ( Mandarin ( PI_36653 , - ) , Manitoba_Brown ) )
F82-1739	Bedford	Kirby	( F82-1739 ( Bedford , Kirby ) )
F82-1820	Bedford	Kirby	( F82-1820 ( Bedford , Kirby ) )
F82-1851	Bedford	Kirby	( F82-1851 ( Bedford , Kirby ) )
F83-1648	Bedford	Kirby	( F83-1648 ( Bedford , Kirby ) )
F83-1960	Bedford	Kirby	( F83-1960 ( Bedford , Kirby ) )
F83-1969	Bedford	Kirby	( F83-1969 ( Bedford , Kirby ) )
F83-2048	Bedford	Kirby	( F83-2048 ( Bedford , Kirby ) )
F83-2184	Bedford	Kirby	( F83-2184 ( Bedford , Kirby ) )
F88-8626	F83-1969	F79-6429	( F88-8626 ( F83-1969 ( Bedford , Kirby ) , F79-6429 ( Davis , Cobb ) ) )
F88-8662	F83-1969	F79-6429	( F88-8662 ( F83-1969 ( Bedford , Kirby ) , F79-6429 ( Davis , Cobb ) ) )
F88-8692	Kirby	F84-1569	( F88-8692 ( Kirby , F84-1569 ) )
F88-8723	Kirby	Coker_6738	( F88-8723 ( Kirby , Coker_6738 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) ) )
F88-9160	F77-2000	Braxton	( F88-9160 ( F77-2000 , Braxton ) )
F89-4067	Kirby	F84-1569	( F89-4067 ( Kirby , F84-1569 ) )
F90-3126	F77-2000	F84-1569	( F90-3126 ( F77-2000 , F84-1569 ) )
F91-1419	PI_417479	F87-4017	( F91-1419 ( PI_417479 , F87-4017 ) )
F92-1792	PI_417479	F87-4017	( F92-1792 ( PI_417479 , F87-4017 ) )
FC_31596	Manchu	-	( FC_31596 ( Manchu ( PI_30593 , - ) , - ) )
FFR_111	Adelphia	Harosoy_63	( FFR_111 ( Adelphia , Harosoy_63 ) )
FFR_224	L65-4059	T117	( FFR_224 ( L65-4059 , T117 ( AK114 ( Illini ( A.K. , - ) , - ) , PI_65394 ) ) )
FFR_335	Wayne	Kent	( FFR_335 ( Wayne , Kent ) )
FFR_444	Wayne	Kent	( FFR_444 ( Wayne , Kent ) )
FFR_464	Mitchell	Essex	( FFR_464 ( Mitchell ( Amsoy , Wayne ) , Essex ) )
FFR_493	FFR_561	Asgrow_A2943	( FFR_493 ( FFR_561 ( Essex , V68-920 ( York , Dare ) ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) ) )
